date,price
Nov 1 2006,40.34
Dec 1 2006,39.46
Jan 1 2007,37.67
Feb 1 2007,39.14
Mar 1 2007,39.79
Apr 1 2007,61.33
May 1 2007,69.14
Jun 1 2007,68.41
Jul 1 2007,78.54
Aug 1 2007,79.91
Sep 1 2007,93.15
Oct 1 2007,89.15
Nov 1 2007,90.56
Dec 1 2007,92.64
Jan 1 2008,77.7
Feb 1 2008,64.47
Mar 1 2008,71.3
Apr 1 2008,78.63
May 1 2008,81.62
Jun 1 2008,73.33
Jul 1 2008,76.34
Aug 1 2008,80.81
Sep 1 2008,72.76
Oct 1 2008,57.24
Nov 1 2008,42.7
Dec 1 2008,51.28
Jan 1 2009,58.82
Feb 1 2009,64.79
Mar 1 2009,73.44
Apr 1 2009,80.52
May 1 2009,77.99
Jun 1 2009,83.66
Jul 1 2009,85.76
Aug 1 2009,81.19
Sep 1 2009,93.36
Oct 1 2009,118.81
Nov 1 2009,135.91
Dec 1 2009,134.52
Jan 1 2010,125.41
Feb 1 2010,118.4
Mar 1 2010,128.82
Jan 1 2000,100.52
Feb 1 2000,92.11
Mar 1 2000,106.11
Apr 1 2000,99.95
May 1 2000,96.31
Jun 1 2000,98.33
Jul 1 2000,100.74
Aug 1 2000,118.62
Sep 1 2000,101.19
Oct 1 2000,88.5
Nov 1 2000,84.12
Dec 1 2000,76.47
Jan 1 2001,100.76
Feb 1 2001,89.98
Mar 1 2001,86.63
Apr 1 2001,103.7
May 1 2001,100.82
Jun 1 2001,102.35
Jul 1 2001,94.87
Aug 1 2001,90.25
Sep 1 2001,82.82
Oct 1 2001,97.58
Nov 1 2001,104.5
Dec 1 2001,109.36
Jan 1 2002,97.54
Feb 1 2002,88.82
Mar 1 2002,94.15
Apr 1 2002,75.82
May 1 2002,72.97
Jun 1 2002,65.31
Jul 1 2002,63.86
Aug 1 2002,68.52
Sep 1 2002,53.01
Oct 1 2002,71.76
Nov 1 2002,79.16
Dec 1 2002,70.58
Jan 1 2003,71.22
Feb 1 2003,71.13
Mar 1 2003,71.57
Apr 1 2003,77.47
May 1 2003,80.48
Jun 1 2003,75.42
Jul 1 2003,74.28
Aug 1 2003,75.12
Sep 1 2003,80.91
Oct 1 2003,81.96
Nov 1 2003,83.08
Dec 1 2003,85.05
Jan 1 2004,91.06
Feb 1 2004,88.7
Mar 1 2004,84.41
Apr 1 2004,81.04
May 1 2004,81.59
Jun 1 2004,81.19
Jul 1 2004,80.19
Aug 1 2004,78.17
Sep 1 2004,79.13
Oct 1 2004,82.84
Nov 1 2004,87.15
Dec 1 2004,91.16
Jan 1 2005,86.39
Feb 1 2005,85.78
Mar 1 2005,84.66
Apr 1 2005,70.77
May 1 2005,70.18
Jun 1 2005,68.93
Jul 1 2005,77.53
Aug 1 2005,75.07
Sep 1 2005,74.7
Oct 1 2005,76.25
Nov 1 2005,82.98
Dec 1 2005,76.73
Jan 1 2006,75.89
Feb 1 2006,75.09
Mar 1 2006,77.17
Apr 1 2006,77.05
May 1 2006,75.04
Jun 1 2006,72.15
Jul 1 2006,72.7
Aug 1 2006,76.35
Sep 1 2006,77.26
Oct 1 2006,87.06
Nov 1 2006,86.95
Dec 1 2006,91.9
Jan 1 2007,93.79
Feb 1 2007,88.18
Mar 1 2007,89.44
Apr 1 2007,96.98
May 1 2007,101.54
Jun 1 2007,100.25
Jul 1 2007,105.4
Aug 1 2007,111.54
Sep 1 2007,112.6
Oct 1 2007,111
Nov 1 2007,100.9
Dec 1 2007,103.7
Jan 1 2008,102.75
Feb 1 2008,109.64
Mar 1 2008,110.87
Apr 1 2008,116.23
May 1 2008,125.14
Jun 1 2008,114.6
Jul 1 2008,123.74
Aug 1 2008,118.16
Sep 1 2008,113.53
Oct 1 2008,90.24
Nov 1 2008,79.65
Dec 1 2008,82.15
Jan 1 2009,89.46
Feb 1 2009,90.32
Mar 1 2009,95.09
Apr 1 2009,101.29
May 1 2009,104.85
Jun 1 2009,103.01
Jul 1 2009,116.34
Aug 1 2009,117
Sep 1 2009,118.55
Oct 1 2009,119.54
Nov 1 2009,125.79
Dec 1 2009,130.32
Jan 1 2010,121.85
Feb 1 2010,127.16
Mar 1 2010,125.55
Aug 1 2004,102.37
Sep 1 2004,129.6
Oct 1 2004,190.64
Nov 1 2004,181.98
Dec 1 2004,192.79
Jan 1 2005,195.62
Feb 1 2005,187.99
Mar 1 2005,180.51
Apr 1 2005,220
May 1 2005,277.27
Jun 1 2005,294.15
Jul 1 2005,287.76
Aug 1 2005,286
Sep 1 2005,316.46
Oct 1 2005,372.14
Nov 1 2005,404.91
Dec 1 2005,414.86
Jan 1 2006,432.66
Feb 1 2006,362.62
Mar 1 2006,390
Apr 1 2006,417.94
May 1 2006,371.82
Jun 1 2006,419.33
Jul 1 2006,386.6
Aug 1 2006,378.53
Sep 1 2006,401.9
Oct 1 2006,476.39
Nov 1 2006,484.81
Dec 1 2006,460.48
Jan 1 2007,501.5
Feb 1 2007,449.45
Mar 1 2007,458.16
Apr 1 2007,471.38
May 1 2007,497.91
Jun 1 2007,522.7
Jul 1 2007,510
Aug 1 2007,515.25
Sep 1 2007,567.27
Oct 1 2007,707
Nov 1 2007,693
Dec 1 2007,691.48
Jan 1 2008,564.3
Feb 1 2008,471.18
Mar 1 2008,440.47
Apr 1 2008,574.29
May 1 2008,585.8
Jun 1 2008,526.42
Jul 1 2008,473.75
Aug 1 2008,463.29
Sep 1 2008,400.52
Oct 1 2008,359.36
Nov 1 2008,292.96
Dec 1 2008,307.65
Jan 1 2009,338.53
Feb 1 2009,337.99
Mar 1 2009,348.06
Apr 1 2009,395.97
May 1 2009,417.23
Jun 1 2009,421.59
Jul 1 2009,443.05
Aug 1 2009,461.67
Sep 1 2009,495.85
Oct 1 2009,536.12
Nov 1 2009,583
Dec 1 2009,619.98
Jan 1 2010,529.94
Feb 1 2010,526.8
Mar 1 2010,560.19
Jan 1 2000,25.94
Feb 1 2000,28.66
Mar 1 2000,33.95
Apr 1 2000,31.01
May 1 2000,21
Jun 1 2000,26.19
Jul 1 2000,25.41
Aug 1 2000,30.47
Sep 1 2000,12.88
Oct 1 2000,9.78
Nov 1 2000,8.25
Dec 1 2000,7.44
Jan 1 2001,10.81
Feb 1 2001,9.12
Mar 1 2001,11.03
Apr 1 2001,12.74
May 1 2001,9.98
Jun 1 2001,11.62
Jul 1 2001,9.4
Aug 1 2001,9.27
Sep 1 2001,7.76
Oct 1 2001,8.78
Nov 1 2001,10.65
Dec 1 2001,10.95
Jan 1 2002,12.36
Feb 1 2002,10.85
Mar 1 2002,11.84
Apr 1 2002,12.14
May 1 2002,11.65
Jun 1 2002,8.86
Jul 1 2002,7.63
Aug 1 2002,7.38
Sep 1 2002,7.25
Oct 1 2002,8.03
Nov 1 2002,7.75
Dec 1 2002,7.16
Jan 1 2003,7.18
Feb 1 2003,7.51
Mar 1 2003,7.07
Apr 1 2003,7.11
May 1 2003,8.98
Jun 1 2003,9.53
Jul 1 2003,10.54
Aug 1 2003,11.31
Sep 1 2003,10.36
Oct 1 2003,11.44
Nov 1 2003,10.45
Dec 1 2003,10.69
Jan 1 2004,11.28
Feb 1 2004,11.96
Mar 1 2004,13.52
Apr 1 2004,12.89
May 1 2004,14.03
Jun 1 2004,16.27
Jul 1 2004,16.17
Aug 1 2004,17.25
Sep 1 2004,19.38
Oct 1 2004,26.2
Nov 1 2004,33.53
Dec 1 2004,32.2
Jan 1 2005,38.45
Feb 1 2005,44.86
Mar 1 2005,41.67
Apr 1 2005,36.06
May 1 2005,39.76
Jun 1 2005,36.81
Jul 1 2005,42.65
Aug 1 2005,46.89
Sep 1 2005,53.61
Oct 1 2005,57.59
Nov 1 2005,67.82
Dec 1 2005,71.89
Jan 1 2006,75.51
Feb 1 2006,68.49
Mar 1 2006,62.72
Apr 1 2006,70.39
May 1 2006,59.77
Jun 1 2006,57.27
Jul 1 2006,67.96
Aug 1 2006,67.85
Sep 1 2006,76.98
Oct 1 2006,81.08
Nov 1 2006,91.66
Dec 1 2006,84.84
Jan 1 2007,85.73
Feb 1 2007,84.61
Mar 1 2007,92.91
Apr 1 2007,99.8
May 1 2007,121.19
Jun 1 2007,122.04
Jul 1 2007,131.76
Aug 1 2007,138.48
Sep 1 2007,153.47
Oct 1 2007,189.95
Nov 1 2007,182.22
Dec 1 2007,198.08
Jan 1 2008,135.36
Feb 1 2008,125.02
Mar 1 2008,143.5
Apr 1 2008,173.95
May 1 2008,188.75
Jun 1 2008,167.44
Jul 1 2008,158.95
Aug 1 2008,169.53
Sep 1 2008,113.66
Oct 1 2008,107.59
Nov 1 2008,92.67
Dec 1 2008,85.35
Jan 1 2009,90.13
Feb 1 2009,89.31
Mar 1 2009,105.12
Apr 1 2009,125.83
May 1 2009,135.81
Jun 1 2009,142.43
Jul 1 2009,163.39
Aug 1 2009,168.21
Sep 1 2009,185.35
Oct 1 2009,188.5
Nov 1 2009,199.91
Dec 1 2009,210.73
Jan 1 2010,192.06
Feb 1 2010,204.62
Mar 1 2010,223.02
